,date,open,high,low,close,volume
2187,2021-07-27 20:21:57.542623744,308.0,308.62,307.98,308.39,740.93
2188,2021-07-27 20:22:00.607852288,308.0,308.62,307.98,308.33,863.86
2189,2021-07-27 20:22:04.724611840,308.35,308.38,308.34,308.38,3.37
2190,2021-07-27 20:22:08.820559872,308.35,308.38,308.34,308.37,16.56
2191,2021-07-27 20:22:12.937234944,308.35,308.43,308.34,308.43,59.82
2192,2021-07-27 20:22:17.057326336,308.35,308.49,308.34,308.49,64.64
2193,2021-07-27 20:22:21.176131840,308.35,308.58,308.34,308.54,155.01
2194,2021-07-27 20:22:25.292406528,308.35,308.58,308.34,308.54,158.54
2195,2021-07-27 20:22:29.410736640,308.35,308.58,308.34,308.57,164.35
2196,2021-07-27 20:22:33.509191680,308.35,308.58,308.34,308.57,177.46
2197,2021-07-27 20:22:40.715837696,308.35,308.65,308.34,308.65,226.31
2198,2021-07-27 20:22:44.833950208,308.35,308.65,308.34,308.65,232.89
2199,2021-07-27 20:22:48.953259776,308.35,308.69,308.34,308.65,303.27
2200,2021-07-27 20:22:53.071170304,308.35,308.69,308.34,308.65,385.61
2201,2021-07-27 20:22:57.189984256,308.35,308.69,308.34,308.48,444.81
2202,2021-07-27 20:23:01.310595840,308.35,308.69,308.34,308.48,479.33
2203,2021-07-27 20:23:05.427838208,308.35,308.69,308.34,308.5,504.78
2204,2021-07-27 20:23:09.547286016,308.35,308.69,308.34,308.46,541.23
2205,2021-07-27 20:23:12.637879808,308.35,308.69,308.34,308.46,543.91
2206,2021-07-27 20:23:16.756170496,308.35,308.69,308.34,308.45,546.53
2207,2021-07-27 20:23:20.874350848,308.35,308.69,308.34,308.45,576.6
2208,2021-07-27 20:23:24.992383488,308.35,308.69,308.34,308.45,588.48
2209,2021-07-27 20:23:29.109700864,308.35,308.69,308.34,308.45,595.63
2210,2021-07-27 20:23:33.227106048,308.35,308.69,308.34,308.49,614.53
2211,2021-07-27 20:23:37.344579072,308.35,308.69,308.34,308.51,619.88
2212,2021-07-27 20:23:41.460844032,308.35,308.69,308.34,308.53,641.04
2213,2021-07-27 20:23:45.559150848,308.35,308.69,308.34,308.53,647.25
2214,2021-07-27 20:23:48.650118912,308.35,308.69,308.34,308.53,652.86
2215,2021-07-27 20:23:52.767887872,308.35,308.69,308.34,308.58,653.29
2216,2021-07-27 20:23:56.889256192,308.35,308.69,308.34,308.57,661.9
2217,2021-07-27 20:24:01.006127360,308.63,308.63,308.61,308.61,7.89
2218,2021-07-27 20:24:05.120235520,308.63,308.63,308.53,308.53,36.01
2219,2021-07-27 20:24:09.240125440,308.63,308.63,308.41,308.41,83.23
2220,2021-07-27 20:24:13.357923840,308.63,308.63,308.32,308.33,230.99
2221,2021-07-27 20:24:17.469146880,308.63,308.63,308.23,308.28,273.15
2222,2021-07-27 20:24:21.583950848,308.63,308.63,308.21,308.22,316.28
2223,2021-07-27 20:24:24.671115008,308.63,308.63,308.06,308.14,709.77
2224,2021-07-27 20:24:28.787877120,308.63,308.63,308.06,308.17,737.62
2225,2021-07-27 20:24:32.902605568,308.63,308.63,308.06,308.17,752.67
2226,2021-07-27 20:24:37.017911808,308.63,308.63,308.06,308.31,799.36
2227,2021-07-27 20:24:41.133894656,308.63,308.63,308.06,308.33,810.77
2228,2021-07-27 20:24:45.247926272,308.63,308.63,308.06,308.4,815.88
2229,2021-07-27 20:24:49.363206912,308.63,308.63,308.06,308.44,824.53
2230,2021-07-27 20:24:53.477529344,308.63,308.63,308.06,308.47,839.22
2231,2021-07-27 20:24:57.523174912,308.63,308.63,308.06,308.52,880.71
2232,2021-07-27 20:25:01.592692224,308.63,308.63,308.06,308.56,889.73
2233,2021-07-27 20:25:04.675907328,308.63,308.63,308.06,308.49,917.13
2234,2021-07-27 20:25:08.787837696,308.63,308.63,308.06,308.5,930.13
2235,2021-07-27 20:25:12.906751488,308.63,308.63,308.06,308.5,933.63
2236,2021-07-27 20:25:17.022749696,308.63,308.63,308.06,308.52,936.82
2237,2021-07-27 20:25:21.140116992,308.63,308.63,308.06,308.52,953.21
2238,2021-07-27 20:25:25.259657216,308.63,308.63,308.06,308.61,1011.56
2239,2021-07-27 20:25:29.358995456,308.63,308.63,308.06,308.62,1016.28
